"","Word","I_Zscore","I_Mean_Accuracy","I_NMG_Zscore","I_NMG_Mean_Accuracy"
"411","yugoslavian",0.14,0.94,0.42,0.96
"412","yuletide",0.85,0.22,1.09,0.75
"413","zaire",0.11,0.68,0.31,0.79
"414","zambia",0.04,0.76,0.11,0.78
"415","zany",0.1,0.74,-0.36,0.92
"416","zap",-0.32,0.97,-0.61,1
"417","zeal",-0.27,0.91,-0.27,1
"418","zealand",0.03,0.75,0.1,0.92
"419","zealot",0.01,0.63,0.28,0.7
"420","zealotry",0.9,0.23,1.1,0.72
"421","zealous",-0.33,0.82,0.06,0.86
"422","zealously",0.2,0.81,0.45,0.96
"423","zebra",-0.57,1,-0.29,1
"424","zeitgeist",1.15,0.13,1.1,0.31
"425","zen",0.05,0.76,-0.41,1
"426","wheel",-0.79,0.97,-0.65,1
"427","wheelbarrow",-0.01,0.94,-0.04,1
"428","wheelbase",0.21,0.82,-0.28,0.96
"429","wheelchair",-0.11,1,-0.43,1
"430","wheeled",-0.27,0.97,-0.5,1
"431","wheeling",-0.3,1,-0.26,1
"432","wheels",-0.59,0.94,-0.6,1
"433","wheelwright",0.48,0.64,0.36,0.96
"434","wheeze",-0.3,0.94,-0.66,1
"435","wheezed",-0.03,0.88,-0.47,1
"436","wheezes",-0.06,0.82,-0.37,1
"437","wheezing",-0.24,0.97,-0.34,1
"438","wheezy",-0.37,0.89,-0.5,0.96
"439","whelp",-0.05,0.45,-0.56,0.96
"440","when",-0.51,0.88,-0.7,1
"441","whence",0.27,0.53,-0.27,0.96
"442","when'd",0.61,0.16,-0.15,0.79
"443","whenever",-0.38,0.97,-0.48,1
"444","when'll",1.21,0.3,0.42,0.64
"445","when're",0.06,0.46,1.24,0.36
"446","when's",-0.4,0.73,-0.68,1
"447","when've",0.45,0.41,0.41,0.4
"448","where",-0.64,0.97,-0.68,1
"449","whereabouts",0.6,0.88,-0.36,1
"450","whereas",0.07,0.91,-0.3,1
"451","whereat",1.23,0.34,0.49,0.88
"452","whereby",-0.03,0.94,-0.1,1
"453","where'd",0.54,0.74,-0.27,0.93
"454","wherefore",0.14,0.84,-0.27,0.96
"455","wherefores",0.51,0.47,0.25,0.81
"456","wherein",0.44,0.7,-0.28,1
"457","where'll",0.7,0.57,0.37,0.63
"458","whereof",0.24,0.77,-0.14,1
"459","whereon",0.76,0.5,0.02,0.78
"460","where're",0.66,0.52,0.46,0.59
"461","where's",-0.34,1,-0.63,1
"462","wheresoever",0.87,0.85,0.52,0.93
"463","whereto",0.44,0.63,0.07,0.93
"464","whereupon",0.4,0.91,0.03,1
